Sample:float;Data:float
"0.0";"1487.558349609375"
"1.0";"1428.5166015625"
"2.0";"1484.0626220703125"
"3.0";"1477.7025146484375"
"4.0";"1491.8712158203125"
"5.0";"1504.483154296875"
"6.0";"1430.79638671875"
"7.0";"1454.62841796875"
"8.0";"1464.670166015625"
"9.0";"1536.589599609375"
"10.0";"1470.196533203125"
"11.0";"1462.9090576171875"
"12.0";"1520.49365234375"
"13.0";"1573.18310546875"
"14.0";"1541.60302734375"
"15.0";"1533.968017578125"
"16.0";"1575.5947265625"
"17.0";"1358.263916015625"
"18.0";"1394.0050048828125"
"19.0";"1517.94921875"
"20.0";"1528.636962890625"
"21.0";"1411.271240234375"
"22.0";"1387.9368896484375"
"23.0";"1463.822021484375"
"24.0";"1444.4996337890625"
"25.0";"1490.84033203125"
"26.0";"1545.3419189453125"
"27.0";"1568.5543212890625"
"28.0";"1515.8565673828125"
"29.0";"1524.3671875"
"30.0";"1467.3397216796875"
"31.0";"1574.581787109375"
"32.0";"1646.0543212890625"
"33.0";"1559.8363037109375"
"34.0";"1496.1280517578125"
"35.0";"1539.2474365234375"
"36.0";"1560.8443603515625"
"37.0";"1409.528564453125"
"38.0";"1490.99365234375"
"39.0";"1478.111328125"
"40.0";"1557.026611328125"
"41.0";"1396.812744140625"
"42.0";"1457.97314453125"
"43.0";"1455.686767578125"
"44.0";"1563.656982421875"
"45.0";"1477.56884765625"
"46.0";"1661.8250732421875"
"47.0";"1376.685302734375"
"48.0";"1455.712158203125"
"49.0";"1528.5244140625"
"50.0";"1634.557861328125"
"51.0";"1465.80615234375"
"52.0";"1447.563232421875"
"53.0";"1456.3330078125"
"54.0";"1595.0572509765625"
"55.0";"1546.989013671875"
"56.0";"1670.017333984375"
"57.0";"1470.931396484375"
"58.0";"1512.51611328125"
"59.0";"1663.919677734375"
"60.0";"1593.2232666015625"
"61.0";"1550.084228515625"
"62.0";"1585.2119140625"
"63.0";"1615.095947265625"
"64.0";"1587.86328125"
"65.0";"1568.387451171875"
"66.0";"1529.665283203125"
"67.0";"1567.593017578125"
"68.0";"1683.5272216796875"
"69.0";"1445.79541015625"
"70.0";"1415.9041748046875"
"71.0";"1484.2403564453125"
"72.0";"1531.5928955078125"
"73.0";"1402.6995849609375"
"74.0";"1475.2691650390625"
"75.0";"1456.94873046875"
"76.0";"1466.428955078125"
"77.0";"1358.4842529296875"
"78.0";"1412.513427734375"
"79.0";"1503.1651611328125"
"80.0";"1556.5166015625"
"81.0";"1480.031494140625"
"82.0";"1489.7720947265625"
"83.0";"1543.45849609375"
"84.0";"1590.33154296875"
"85.0";"1603.765625"
"86.0";"1539.519775390625"
"87.0";"1530.8800048828125"
"88.0";"1693.227294921875"
"89.0";"1639.828369140625"
"90.0";"1602.118408203125"
"91.0";"1377.276123046875"
"92.0";"1522.02294921875"
"93.0";"1471.40185546875"
"94.0";"1497.855712890625"
"95.0";"1455.3087158203125"
"96.0";"1492.7816162109375"
"97.0";"1451.282470703125"
"98.0";"1451.434326171875"
"99.0";"1406.5928955078125"
"100.0";"1390.5496826171875"
"101.0";"1348.7752685546875"
"102.0";"1529.891357421875"
"103.0";"1556.6929931640625"
"104.0";"1410.2462158203125"
"105.0";"1442.43017578125"
"106.0";"1463.447265625"
"107.0";"1467.6934814453125"
"108.0";"1443.05126953125"
"109.0";"1563.6220703125"
"110.0";"1510.4647216796875"
"111.0";"1424.4659423828125"
"112.0";"1289.0797119140625"
"113.0";"1448.3131103515625"
"114.0";"1504.416259765625"
"115.0";"1373.2857666015625"
"116.0";"1273.343505859375"
"117.0";"1336.430908203125"
"118.0";"1594.206298828125"
"119.0";"1475.8546142578125"
"120.0";"1396.229736328125"
"121.0";"1149.21728515625"
"122.0";"1583.191650390625"
"123.0";"1559.002197265625"
"124.0";"1486.05615234375"
"125.0";"1328.6787109375"
"126.0";"1573.0968017578125"
"127.0";"1496.475341796875"
"128.0";"1554.2073974609375"
"129.0";"1448.1585693359375"
"130.0";"1620.573486328125"
"131.0";"1501.6402587890625"
"132.0";"1507.1297607421875"
"133.0";"1367.465087890625"
"134.0";"1691.22509765625"
"135.0";"1623.32861328125"
"136.0";"1550.32373046875"
"137.0";"1442.761962890625"
"138.0";"1566.1400146484375"
"139.0";"1724.02490234375"
"140.0";"1647.748779296875"
"141.0";"1503.3623046875"
"142.0";"1369.193359375"
"143.0";"1503.49267578125"
"144.0";"1545.0869140625"
"145.0";"1497.8182373046875"
"146.0";"1488.1357421875"
"147.0";"1508.156982421875"
"148.0";"1396.552734375"
"149.0";"1314.568603515625"
"150.0";"1353.0687255859375"
"151.0";"1649.4818115234375"
"152.0";"1649.1798095703125"
"153.0";"1394.761962890625"
"154.0";"1227.563720703125"
"155.0";"1391.9515380859375"
"156.0";"1520.98486328125"
"157.0";"1621.8167724609375"
"158.0";"1569.4901123046875"
"159.0";"1428.04296875"
"160.0";"1404.3140869140625"
"161.0";"1470.6085205078125"
"162.0";"1487.197265625"
"163.0";"1694.8876953125"
"164.0";"1663.625244140625"
"165.0";"1555.77490234375"
"166.0";"1339.2889404296875"
"167.0";"1487.0474853515625"
"168.0";"1517.21923828125"
"169.0";"1514.48974609375"
"170.0";"1369.5601806640625"
"171.0";"1408.6453857421875"
"172.0";"1412.4102783203125"
"173.0";"1616.604248046875"
"174.0";"1526.197021484375"
"175.0";"1513.4378662109375"
"176.0";"1358.7120361328125"
"177.0";"1484.971435546875"
"178.0";"1619.5296630859375"
"179.0";"1663.2271728515625"
"180.0";"1524.872802734375"
"181.0";"1493.871826171875"
"182.0";"1479.3468017578125"
"183.0";"1552.1888427734375"
"184.0";"1494.9459228515625"
"185.0";"1534.666259765625"
"186.0";"1526.150634765625"
"187.0";"1580.4495849609375"
"188.0";"1412.17041015625"
"189.0";"1529.4835205078125"
"190.0";"1465.04345703125"
"191.0";"1468.0167236328125"
"192.0";"1510.4237060546875"
"193.0";"1508.16162109375"
"194.0";"1501.072509765625"
"195.0";"1401.76904296875"
"196.0";"1478.4305419921875"
"197.0";"1482.09423828125"
"198.0";"1569.1878662109375"
"199.0";"1515.3330078125"
"200.0";"1540.999755859375"
"201.0";"1450.3125"
"202.0";"1555.880859375"
"203.0";"1562.20263671875"
"204.0";"1523.01416015625"
"205.0";"1604.9110107421875"
"206.0";"1530.6295166015625"
"207.0";"1680.6165771484375"
"208.0";"1558.4573974609375"
"209.0";"1494.4898681640625"
"210.0";"1658.2105712890625"
"211.0";"1678.7515869140625"
"212.0";"1526.395751953125"
"213.0";"1446.73779296875"
"214.0";"1664.65771484375"
"215.0";"1637.4688720703125"
"216.0";"1629.074951171875"
"217.0";"1490.0294189453125"
"218.0";"1517.00830078125"
"219.0";"1626.792236328125"
"220.0";"1485.46875"
"221.0";"1449.7952880859375"
"222.0";"1272.088623046875"
"223.0";"1537.250244140625"
"224.0";"1493.5118408203125"
"225.0";"1431.2706298828125"
"226.0";"1386.2127685546875"
"227.0";"1507.0699462890625"
"228.0";"1561.9600830078125"
"229.0";"1414.8681640625"
"230.0";"1416.5267333984375"
"231.0";"1489.831787109375"
"232.0";"1543.8353271484375"
"233.0";"1526.0087890625"
"234.0";"1525.1962890625"
"235.0";"1520.7857666015625"
"236.0";"1561.696533203125"
"237.0";"1543.3599853515625"
"238.0";"1596.714599609375"
"239.0";"1602.39599609375"
"240.0";"1575.6151123046875"
"241.0";"1546.572998046875"
"242.0";"1473.733642578125"
"243.0";"1430.971435546875"
"244.0";"1417.524658203125"
"245.0";"1469.9239501953125"
"246.0";"1493.576416015625"
"247.0";"1412.24365234375"
"248.0";"1423.91552734375"
"249.0";"1452.0631103515625"
"250.0";"1460.693359375"
"251.0";"1391.8804931640625"
"252.0";"1426.8607177734375"
"253.0";"1527.90673828125"
"254.0";"1465.486328125"
"255.0";"1388.274169921875"
"256.0";"1453.6966552734375"
"257.0";"1505.6683349609375"
"258.0";"1541.6077880859375"
"259.0";"1439.1766357421875"
"260.0";"1453.543701171875"
"261.0";"1519.7333984375"
"262.0";"1435.591064453125"
"263.0";"1455.114990234375"
"264.0";"1476.4700927734375"
"265.0";"1338.6190185546875"
"266.0";"1305.8834228515625"
"267.0";"1501.43701171875"
"268.0";"1429.183349609375"
"269.0";"1318.569091796875"
"270.0";"1455.3466796875"
"271.0";"1432.608154296875"
"272.0";"1440.146240234375"
"273.0";"1362.1748046875"
"274.0";"1442.0462646484375"
"275.0";"1821.805908203125"
"276.0";"1475.035400390625"
"277.0";"1418.573486328125"
"278.0";"1566.8614501953125"
"279.0";"1528.33251953125"
"280.0";"1497.6103515625"
"281.0";"1493.58984375"
"282.0";"1569.7554931640625"
"283.0";"1584.44873046875"
"284.0";"1546.25537109375"
"285.0";"1548.404296875"
"286.0";"1609.75732421875"
"287.0";"1555.568359375"
